N,MEAN_X,MEAN_Y,MEAN_Z,SIGMA_X,SIGMA_Y,SIGMA_Z,SIGMA_R,LAMBDA_1,LAMBDA_2,LAMBDA_3,EIGEN_1,EIGEN_2,EIGEN_3
85,-375.37732377893104,165.3972722759611,28.143191806741704,13.005077774779098,18.530744285560882,12.863166966228865,17.492467642432537,3796.8439211356845,3795.7493304093196,176.39045459335844,[-0.17889815 -0.54396879  0.81981303],[0.36775654 0.73588521 0.56853152],[-0.91255169  0.40320084  0.06839958]
44,-310.6744403074844,-314.48143438279044,63.46156236696611,13.414229949067844,16.823013545100643,9.352874371884504,14.180213921470694,2965.8066096948032,2964.4745452312045,124.25874286369202,[ 0.35842756 -0.16929766  0.91807842],[-0.6226919   0.68934014  0.37022285],[-0.69554617 -0.70437807  0.14165822]
127,-236.77250807914524,193.17114523644292,49.231244043234284,28.792097315160877,17.99126147406083,13.96868957355416,22.506877491814592,3510.03632317056,3500.450287372594,319.43634102496543,[0.2803391  0.10086178 0.95458729],[-0.57735521 -0.77675275  0.25162697],[ 0.76685784 -0.62167682 -0.15952109]
57,-334.6859813732974,-274.0418141284516,178.5143563769376,12.14417473886308,13.638766173888891,28.32801161681692,12.61857235208893,3540.151704749347,3536.2683768150687,235.51332182052448,[-0.50355461  0.81039556  0.29948588],[ 0.48546828 -0.02133409  0.87399394],[-0.71467006 -0.58549457  0.38267846]
209,-332.3591962227776,-26.05252358403531,233.28311687920151,18.789860847290747,19.057702944850647,28.51609748539545,17.737087378533573,5904.740928440928,5892.648247133245,505.0797425539353,[-0.27020749  0.9205215  -0.2821845 ],[0.51040977 0.38546759 0.768698  ],[ 0.81637601  0.06367823 -0.57399939]
298,-242.87910154565205,-192.4156588949141,305.45318780440715,22.720884348128063,40.28018178050384,25.046131218124188,36.792522143751604,7562.072234816778,7541.270423003338,651.9335817889029,[-0.80151921  0.06933107 -0.59393615],[-0.21536025  0.89313206  0.39488617],[-0.5578413  -0.44441909  0.70093135]
43,-414.3918787640243,-28.057215366559454,248.08091136856353,6.184739826507606,19.973713827374347,10.401102923602464,4.96253802718442,3175.591339039956,3173.105449242431,149.6471484110882,[-0.50096646  0.33197552 -0.7992652 ],[0.12398373 0.94151057 0.31334627],[-0.85653993 -0.05788009  0.51282478]
7,-190.46586838234478,-21.22514912539982,13.10902243618392,3.0982480204216167,6.325345067292015,5.066162297746623,2.69985685724689,508.7197686757067,508.3083911735095,21.795285432907548,[-0.01361149  0.61094776  0.79155389],[-0.12902341  0.78393607 -0.60728675],[-0.99154813 -0.11039506  0.06815603]
53,-243.23336347240974,-24.606167673512886,258.63102815644453,11.238567497324649,17.937786537166605,10.479901138134437,10.707407225742893,2595.966572454026,2592.761364453365,153.052344955268,[-0.64562966 -0.40744872 -0.64586987],[-0.3406545   0.91061913 -0.23393868],[-0.68345947 -0.06898073  0.72672196]
126,-215.49564208578545,-106.07926089883601,144.7355023203092,12.091489977698652,21.05332132416273,20.78586808238656,20.70576878152352,3164.5604580891713,3159.9205336908876,273.93951926166704,[0.27959388 0.52895554 0.80126981],[ 0.57841984 -0.7589048   0.29915547],[ 0.76632744  0.37982831 -0.51814351]
11,-253.312494884841,158.48743778647932,240.56676643454833,4.184992175844012,5.82440527619451,7.241431027159958,6.682040145079675,1272.6601554411911,1272.574248599603,25.47632247640941,[-0.67456161  0.04098943 -0.73707971],[-0.33019207 -0.90976599  0.25159301],[ 0.66025739 -0.41309286 -0.6272276 ]
38,-237.01914387649677,265.55019044927667,308.8954006293376,9.91538835760939,8.139558916401288,13.3423184338961,8.947976462478202,2906.9479810677904,2906.2425387631342,99.53159762836957,[0.80379408 0.58364341 0.11521909],[ 0.31771707 -0.5848894   0.7462977 ],[-0.50296216  0.56326261  0.65556411]
58,-138.11360874935443,-126.94152418324579,191.65884774715693,12.924553782756245,13.749562593705823,13.321492175432157,11.924825472807804,2048.077170853998,2046.3908944307927,150.2739606667423,[0.433607   0.57576726 0.69316451],[-0.73977024  0.66667694 -0.09100465],[-0.51451429 -0.47332222  0.71501127]
32,-57.33821413879352,12.716704191024132,9.930685169434806,10.335056863782254,21.097649556010765,6.868835220053587,9.48751269433395,362.2647181660577,343.3153780366921,127.72548860296372,[ 0.16809101 -0.01056975  0.98571481],[ 0.21104527  0.97714333 -0.02551108],[-0.962915    0.21231863  0.16647971]
182,-297.6666141366491,233.2862720826609,274.961141382627,15.588237220495552,16.918465038275738,15.358837827113788,13.303167248064913,6316.8500569406615,6312.77515410307,326.58127979037897,[0.70282351 0.68919841 0.17619498],[ 0.31706369 -0.52521866  0.7896936 ],[-0.63679646  0.49915019  0.58765581]
6,-157.62604360637832,-173.66224503149715,183.35982286207127,4.1338998968913385,3.128442074323253,3.3143130525768294,3.2760528366125445,729.3196712402815,729.3067826057138,12.775003957436025,[ 0.82198379 -0.17343108  0.54246134],[-0.20960567  0.79351824  0.57130926],[ 0.52953575  0.58330992 -0.61590699]
241,-386.36870668484096,94.21050665558734,168.17928930091358,19.67881238232776,28.887153344732422,29.90578406857925,28.765881671550776,6735.9399419008305,6723.239361354243,556.3442355462284,[ 0.12956271 -0.70750823  0.694727  ],[0.43014491 0.671379   0.60351106],[-0.89341416  0.22064076  0.39131675]
97,-250.16019725463633,10.218147255786256,21.284652320094633,14.066146810613882,23.968997878967585,11.591865088941528,14.245064292410245,2490.3833591711727,2480.82863766772,260.91475482456013,[0.09219485 0.23295573 0.9681073 ],[-0.0207471  -0.97158764  0.23576899],[-0.99552482  0.0418221   0.08474222]
3,-470.72165817863066,104.33627228818493,21.31765615712728,4.753706003522072,0.8190952905125408,0.986103124515466,4.5342444928114345,835.9604216871104,835.9550894950886,3.3144966710465757,[-0.12327174 -0.36786208 -0.92167324],[ 0.18297577  0.90440762 -0.38544355],[ 0.97535837 -0.21615817 -0.04417805]
55,-442.74764027167896,148.4013327947159,67.7935638372419,13.089598074092303,21.049156025284496,12.766465287157857,12.887074680309114,3504.6262674633344,3501.4963196459644,183.0693348229478,[0.24313234 0.30435705 0.92100676],[ 0.24597664  0.89911623 -0.36205732],[-0.93828682  0.31457399  0.14373951]
11,-138.62196139972238,-93.24538180185746,159.35331373767175,4.644617995298526,11.460925804337048,10.321180338230409,10.570888575669846,767.2763273920277,766.846878563197,40.42108089474076,[0.3740878  0.62098646 0.68879179],[-0.70781281  0.67107328 -0.22059393],[-0.59921561 -0.40501415  0.6905825 ]
24,-298.32407861097244,83.46617837441664,247.88547972827163,12.87189352958994,6.247027160585866,11.515330364443134,11.436655352431115,1945.6169315940908,1944.6212068969764,70.32449508440934,[-0.25629325 -0.96644721  0.01713355],[ 0.60728193 -0.14720471  0.78073006],[-0.75201226  0.21050074  0.6246335 ]
20,-177.67468896314458,100.52931445330026,33.619264236017244,6.700344656229786,13.368728583949444,10.320190418014842,6.895889811163389,928.5792835364721,926.04226062978,74.69219128235162,[-0.15021626 -0.54250379  0.82651359],[0.49115251 0.68459035 0.5386142 ],[-0.85802347  0.48685284  0.16361549]
91,-335.3501319229331,313.731862837402,38.25402673128811,16.121630201702445,10.58143005283174,13.66704407000622,10.449687667633656,4400.696910739474,4397.995904739865,202.51931966752187,[-0.36219985 -0.48447818  0.79629904],[0.58214191 0.54962313 0.59918712],[-0.72795746  0.68058453  0.08296164]
28,-366.83092953061504,-314.2359096619222,20.13081522070905,12.325711642738556,10.247728638265354,11.445868612139313,5.660562930678554,2559.5418250736934,2559.008857532878,99.74991695853905,[ 0.13417383 -0.09348936  0.98653795],[-0.6372318   0.75427166  0.15814517],[-0.75890251 -0.64987229  0.04162912]
18,-464.7404990739617,31.499295623994854,117.34098924714652,3.7730877205433218,6.763055357845371,4.7448412141524265,3.9307046280484177,2038.2884946126787,2038.1252280024632,34.77892037300351,[-0.24919777 -0.41255358 -0.87618492],[ 0.04332294 -0.9085698   0.4154805 ],[ 0.96748312 -0.0655779  -0.2442866 ]
73,-278.80080632519054,-112.99023129979244,105.51942480685771,16.753887981758105,10.047262506810648,19.853047803360823,10.109970273012463,2733.0536786373445,2726.3061716615725,221.511174321008,[-0.23218049  0.90512995  0.35613479],[ 0.42470631 -0.23505435  0.87428485],[ 0.87505244  0.35424458 -0.32983937]
7,-315.93629712169655,227.91895784043666,74.09819941487953,5.079955828672176,5.3795062281842085,7.941279505844178,7.643311616491404,1049.5572281770114,1049.386289800253,20.349489476863234,[0.58861035 0.80806591 0.02381915],[ 0.13740804 -0.12903891  0.98207331],[-0.79665356  0.57478557  0.18698839]
2,-315.02751781667536,-77.11886219535208,337.60317536248016,3.890468600715792,1.4860050106401204,1.3765043223466478,1.3804682018205767,662.0948551738569,662.0686760401483,5.887737607584941,[-0.20293318 -0.89637376 -0.39412207],[-0.71131848  0.41155977 -0.5697759 ],[ 0.67293695  0.16471987 -0.72112636]
7,-262.95425884024274,156.97871154284556,303.3771198911126,3.6217355281173615,5.683062572776301,5.113742639859689,7.182045782067665,1140.723171433664,1140.6845335662615,11.85050186439957,[-0.76431212 -0.03592545 -0.64384496],[-0.20923161 -0.93061166  0.30030662],[ 0.60995828 -0.36424071 -0.70376104]
38,-210.66777918808162,-147.40079375804436,81.20902301270783,13.362234312785532,12.367202010131296,10.237527902543164,16.614137680478553,1666.3167417071145,1666.0947963438327,78.03528490989271,[0.00534506 0.47694336 0.87891778],[-0.62439662  0.68812459 -0.36961251],[-0.78108917 -0.54681769  0.30147989]
