N,MEAN_X,MEAN_Y,MEAN_Z,SIGMA_X,SIGMA_Y,SIGMA_Z,SIGMA_R,LAMBDA_1,LAMBDA_2,LAMBDA_3,EIGEN_1,EIGEN_2,EIGEN_3
676,179.15632241499037,92.40734646806071,66.4628881998318,12.261119508903333,13.399566999858758,10.191549139661433,16.284043092665268,5540.797351881624,5539.460648956533,335.55506273023394,[ 0.0044438  -0.58849875  0.80848591],[-0.53762772  0.68029901  0.49814625],[-0.84317061 -0.4368781  -0.31337013]
3,135.3789279979791,118.05862097789878,163.9166124261818,0.42140056214857574,1.1084509437308983,1.3731724283150617,1.6759068991788615,421.20247521159126,421.201221862633,1.2018393791196704,[ 0.17861864  0.72250546 -0.66789314],[-0.81128331  0.49221859  0.31550002],[0.5566999  0.48549637 0.67407603]
2,80.16009170179686,18.70131496572237,81.91981165141695,0.7214116504744581,0.8740102138628068,1.6654677266426887,1.8135013015982793,164.25768253243515,164.25300110628606,1.2401203589332555,[ 0.3971881   0.73056963 -0.55543643],[-0.60488089  0.66355841  0.44023783],[0.6901889  0.16111566 0.70546512]
209,189.24431702529904,31.324108557920162,64.91937301432633,5.2015920110682305,6.696771879269764,6.847203111569284,4.572343932614147,2930.199614855208,2929.9927579024475,143.3345872063414,[-0.24416683  0.93378097  0.2616021 ],[-0.25885932 -0.32273933  0.91040166],[0.93454503 0.15457175 0.32052015]
159,154.59159715855697,96.04830978547929,101.66546219666795,11.325680985494492,5.889367476695237,5.647137402094314,11.012894632034467,2633.736512578646,2633.185834260646,109.14125352069779,[-5.27106432e-01  8.49799273e-01  6.45988126e-05],[-0.41375207 -0.25670509  0.87344818],[-0.74227221 -0.46037342 -0.48691712]
311,130.6173705879164,11.343293816766218,121.71058188016438,8.641401598319044,5.923452025416894,15.85761097767488,14.036235276397335,3171.0358002112953,3166.0596697728056,226.20101697930696,[ 0.18666529 -0.97635817 -0.10899908],[-0.65940937 -0.20676078  0.72279268],[-0.72824128 -0.06304529 -0.68241478]
237,110.97200385202069,149.57986353104795,81.56213613366303,9.163766973945103,9.334545610985753,10.613208958232883,8.067590704662118,3139.152520063097,3134.262718230918,228.89569377501013,[ 0.41810521 -0.65354406  0.63092646],[ 0.7267454 -0.1760496 -0.6639636],[0.54500382 0.73612954 0.40135288]
3,138.2270142445187,48.60860427366856,174.89564938248972,1.1699334141905695,1.8330138888117091,0.8428601536444256,1.3388234522150217,395.2087183395281,395.19577504264066,3.3098665886433287,[ 0.76573347  0.10532738 -0.6344749 ],[ 0.21590674 -0.97134927  0.09932205],[0.6058354  0.21304163 0.76653554]
88,11.189961874691653,110.35553176428276,120.05738948986142,6.704978036296036,3.8058962875849116,9.725871970197515,8.092602454066727,1536.7441936928715,1536.2651826094218,87.5649269360318,[-0.68231058 -0.50612738  0.52752947],[-0.72783086  0.53806044 -0.4251508 ],[-0.06866228 -0.67403712 -0.73549946]
6,182.87769412995928,41.28201749697393,145.19095111654175,3.9684029117136994,0.4014367495725754,1.9251567487184287,3.570183556008575,580.9383275225265,580.9057194144227,6.403996180475757,[-0.12144273  0.98445237 -0.12690625],[-0.62479165  0.02353177  0.78043683],[0.77128922 0.17406834 0.61221986]
2307,86.7197654929452,124.52219154242182,144.789273995849,17.831065786650537,32.90411159991538,15.032798237260632,27.787251105207396,10237.02322726262,10185.757836549068,1388.8379806055882,[-0.88857914  0.10296367  0.44701856],[ 0.19830863 -0.79249634  0.57673498],[-0.41364332 -0.60112231 -0.68377713]
