N,MEAN_X,MEAN_Y,MEAN_Z,SIGMA_X,SIGMA_Y,SIGMA_Z,SIGMA_R,LAMBDA_1,LAMBDA_2,LAMBDA_3,EIGEN_1,EIGEN_2,EIGEN_3
28,139434.42193818634,91651.87798368566,75842.766070772,3256.008858056994,2617.563889738447,4432.9124685739325,2432.5562009844316,970301.563614523,970044.4595232223,29645.21910738215,[-0.55718448  0.83011476  0.02132939],[-0.33277878 -0.24675154  0.91014942],[-0.76079152 -0.50002316 -0.4137307 ]
592,164742.26896720845,193839.3004931647,21775.997417780196,12936.536349582891,7479.891509445166,18215.38660572951,11305.239970126986,6233698.717146007,6223067.138371534,504115.04116241133,[-0.75909812  0.62598691  0.17863491],[ 0.08132899 -0.18106429  0.98010271],[-0.64587587 -0.75852232 -0.08653468]
1921,24774.75618217528,39243.21777357676,37840.475251586,13789.781676990324,18910.50940987108,25670.389057791075,17131.500145241807,2972898.7614552444,2778897.5036819386,1360959.985537835,[-0.9033383   0.38526027  0.18855886],[-0.13630791 -0.67465895  0.72543467],[-0.40669408 -0.62961085 -0.66195929]
325,190501.64997414136,50886.8712834626,17926.136810011503,9448.436655093536,8992.728947749616,8697.969393940228,9761.100220393038,3577637.7050189883,3576721.3559341235,220101.94101849574,[-0.26690782  0.82099387  0.50470713],[ 0.05606537 -0.50959119  0.85858808],[-0.96208986 -0.25746046 -0.08998455]
3,58561.55030337918,11904.45923373643,118228.17896664898,741.3557337688336,1186.4449528892173,696.2434613246243,801.8680973907782,229465.7853935506,229454.02711796766,2323.0614781497325,[ 0.78684246  0.438842   -0.43393162],[ 0.43064247 -0.89406057 -0.12329948],[0.44207014 0.08985212 0.89246882]
532,160717.45376715614,179397.0579935955,192185.21673619596,14710.634370919484,17923.56361146846,9196.224885961006,18641.419734831718,7126926.50680654,7123968.09968124,378572.2409144353,[-0.65568504 -0.19280942  0.73000114],[ 0.54565925 -0.78925907  0.2816489 ],[-0.52185545 -0.58300485 -0.62271361]
409,12201.108059008353,50876.35764978189,150014.38474636417,8433.729346132524,12941.118740647085,15023.815533136882,15025.378555153844,3238241.13463728,3231910.7969243727,309797.7387697521,[-0.97955334  0.20085958  0.01143196],[-0.18600887 -0.92585095  0.32893878],[-0.0766548  -0.32008663 -0.94428205]
20,199394.37817410755,64596.63234202806,201323.9753009013,2974.634385865843,4680.912916786239,2991.644047428931,3613.9939994088822,1300001.9049207421,1299823.3837244927,23022.40303272808,[-0.72371822  0.30551885  0.6187812 ],[-0.07410601 -0.92588182  0.37047423],[-0.68610512 -0.22226354 -0.69271833]
811,18949.59616799495,145305.62998746993,27727.13254543983,12931.088037886642,11629.405160989294,10436.798710479306,11860.358413328182,4278983.55481991,4267820.565193905,468142.30910271243,[-0.40309975 -0.12253083  0.90691609],[ 0.90646027 -0.18974705  0.37726097],[0.12585856 0.9741572  0.18755632]
341,102127.15479227551,172500.05233256597,187167.08290387635,9110.21636022959,14676.829404125918,12552.379106953347,14305.270542171847,5078155.019684181,5073017.118156205,293782.2001602664,[-0.79936849 -0.15664214  0.58006315],[ 0.47185023 -0.76134496  0.44464729],[-0.37197765 -0.62913997 -0.6825068 ]
6,26231.877437213287,144868.53981518498,142875.509362809,835.3756404607853,1146.3678418559005,1933.228153521001,1869.7288942376315,502558.18791690207,502545.241918868,3679.259266050535,[ 0.78061977 -0.50480169  0.36852142],[-0.61179137 -0.49654849  0.61575232],[0.12784406 0.70612666 0.69644888]
620,18960.240599716763,109907.04934689288,90321.85802201227,10751.366771301397,13007.135290912754,16014.29900589488,14531.74154575582,3614556.0586178075,3597517.953944137,452073.21463672066,[ 0.84438965 -0.41942818  0.33329585],[-0.51947027 -0.4889082   0.70079912],[0.13098383 0.76488481 0.6307095 ]
118,69136.22288404143,190513.82253806182,194786.9307553991,6271.461640208534,7722.5789010192075,7540.351818057602,8905.571238139015,3056221.6673935293,3055399.1925084456,94332.04626629865,[-0.0289078  -0.70945099  0.70416166],[-0.96898834  0.19284193  0.1545108 ],[-0.24540973 -0.67785787 -0.69302437]
14,86037.11469375738,172550.97865758938,199132.9159551038,4016.070582760101,1946.8916897670356,3082.983369982216,2076.027346429516,1037255.523756153,1037216.1221738495,18750.622663134625,[ 0.35292205  0.62629228 -0.69512877],[-0.88264752  0.46935684 -0.02524885],[0.31045028 0.62246456 0.71844171]
33,166511.52683494298,186563.84941710805,128026.34954663696,4062.636929086129,7912.575019694525,4204.719199307231,5467.5338476839825,1614770.7744386084,1614191.020743478,46933.72561679353,[-0.13835482 -0.47344752  0.86988815],[-0.79370676  0.57834636  0.188534  ],[-0.59235759 -0.66435151 -0.45579551]
518,191290.11574993675,139419.53043657742,35746.46210236002,9670.816611362588,11049.404037109995,17682.346113731513,11780.613125452881,5468929.196359773,5459396.147841979,451330.0763547222,[-0.60119399  0.78229298  0.16304441],[-0.02296615 -0.22086477  0.975034  ],[-0.79877302 -0.58244008 -0.15074883]
131,11703.075681053937,108938.16852130533,172149.87313459333,5913.406954360543,14978.283619945742,6380.628137219569,12037.093676476516,2343226.3334573554,2340324.706149225,143092.789341218,[ 0.92656975  0.28631727 -0.24390758],[ 0.37191956 -0.79413155  0.48065677],[0.05607437 0.53607602 0.84230527]
1232,108511.07602611465,25826.56789376109,81722.80574416803,17601.82515740248,17919.561878631765,19648.00212928648,19979.68025544296,4955904.446712137,4929407.388596478,870726.9192329175,[-0.62035885  0.23716073  0.74760262],[-0.01022976 -0.95555356  0.29464003],[-0.78425139 -0.17513476 -0.59521221]
1438,175074.20365825898,99074.32122023897,64888.568313361444,13884.273639610668,21018.586429546074,23073.12396017541,18113.836052412524,8094298.150746791,8069347.27446714,1102605.8287656102,[ 0.23232267 -0.78498509  0.57430357],[-0.5140373   0.40216806  0.75764537],[-0.82570687 -0.47123165 -0.31007886]
2468,93603.76601108273,147002.14431827646,83681.09483121648,33099.42480593439,22874.086692804234,40042.906806624145,28814.914308209543,9971925.542487968,9756777.092419352,2397521.7630763184,[ 0.43343702 -0.64378629  0.63061205],[ 0.76622194 -0.10508446 -0.63392523],[0.4743799  0.75795545 0.44773568]
194,106627.85696568669,88705.08808834985,41339.2136669574,7825.7273394141575,5845.399545897072,11069.812308181863,5043.672140772229,2025258.2538284354,2018237.5511714157,192500.19534111817,[ 0.44026017 -0.75530056  0.48548126],[ 0.51332224 -0.23188792 -0.82627373],[0.73666224 0.61298374 0.28562156]
70,193187.87963912234,47474.61965679187,139764.84446543164,4908.632822905263,4292.6634795516775,4975.589519586886,4596.017667690176,2035018.4584943703,2034753.924441271,56924.619136098176,[-0.55788229  0.60797989  0.56491397],[-0.23937297 -0.769635    0.59191431],[-0.79464957 -0.19499338 -0.57489969]
487,158883.34912022573,95592.43923257719,124006.00755784837,22297.61785644247,19317.46414906122,11826.059521348965,23687.945221134694,4965624.968952515,4957811.822154797,460640.5859674053,[ 0.52459162 -0.85126376 -0.01239536],[-0.46413889 -0.29817074  0.83406792],[0.71370773 0.43179187 0.55152249]
141,33963.45641794873,15052.275517026008,120403.0707762978,10634.19133450845,11162.159090930463,8389.439109750432,10031.744981765658,1509486.8506564014,1501762.7479318408,174189.5755420794,[ 0.71657739 -0.68797744 -0.11490818],[-0.64259401 -0.71521362  0.27484982],[0.27127437 0.12311186 0.95459609]
4,92706.33112736241,141703.629476035,194453.04801190007,1970.7661715589668,1983.3718161942095,1529.3541747320357,2696.1933150555246,515735.43863077555,515730.2339776086,3390.945434164947,[ 0.77949172 -0.62115386  0.0809971 ],[-0.51293001 -0.55869542  0.65173786],[0.35957678 0.54957011 0.75410691]
