#x y z mass
#[Mpc/h] [Mpc/h] [Mpc/h] [Msun/h]
141.6838 168.7701 18.8034 0.1229E+16
45.7796 172.4404 159.1376 0.1206E+16
27.5096 160.0697 140.5773 0.1166E+16
69.5081 179.9204 182.9516 0.1146E+16
181.7817 67.3265 165.4047 0.1086E+16
106.6356 191.0977 19.5853 0.8459E+15
172.9711 120.8698 160.6066 0.7951E+15
160.1821 15.9786 166.0064 0.6823E+15
13.0144 38.0132 7.9603 0.6782E+15
113.2584 160.8118 182.6751 0.6703E+15
105.2717 168.4484 188.9633 0.6694E+15
68.0057 21.5661 47.6528 0.6611E+15
126.8484 44.7221 102.8582 0.6423E+15
133.9051 82.0545 124.0343 0.6390E+15
156.3429 189.1575 103.8383 0.6174E+15
80.6752 165.0775 29.2721 0.5788E+15
163.8840 139.8000 31.0098 0.5650E+15
16.3122 138.1711 175.1096 0.5593E+15
151.5985 194.3923 139.0497 0.5317E+15
49.5688 181.0284 186.2426 0.5160E+15
129.0416 171.1653 164.4940 0.4956E+15
29.7724 28.5225 27.5376 0.4683E+15
197.7399 150.8334 150.1928 0.4574E+15
60.2239 37.7063 38.3132 0.4452E+15
188.6485 197.2905 55.7256 0.4429E+15
155.8162 10.1892 106.0271 0.4288E+15
163.4237 18.2917 161.1034 0.4273E+15
14.3572 117.5173 38.6849 0.4207E+15
95.8974 40.8015 137.4141 0.4169E+15
165.0933 10.0341 91.3295 0.4117E+15
133.4099 2.5339 192.6177 0.3953E+15
62.2393 193.3559 46.5365 0.3618E+15
182.0449 67.5574 171.1602 0.3617E+15
141.4613 17.9701 155.8813 0.3552E+15
43.7742 105.8243 102.1514 0.3505E+15
75.9701 2.9147 166.6687 0.3454E+15
87.1500 97.4520 10.6519 0.3418E+15
169.1476 14.7026 38.4734 0.3392E+15
157.7789 66.7027 126.2362 0.3375E+15
146.1747 13.7097 154.9655 0.3301E+15
104.2002 160.3285 19.3871 0.3279E+15
23.1544 79.1068 115.8597 0.3213E+15
182.5261 68.4360 177.0727 0.3181E+15
12.0425 4.8802 54.0296 0.3134E+15
161.8680 8.5432 122.2290 0.3112E+15
158.3280 143.8791 31.8546 0.3106E+15
59.1694 187.2381 15.8755 0.3058E+15
36.6134 179.3211 188.6635 0.3046E+15
56.5585 181.0129 44.3251 0.3035E+15
87.2862 167.5580 26.0744 0.3025E+15
197.4754 4.9951 53.3379 0.3003E+15
64.8517 138.1509 173.4579 0.2994E+15
86.1622 48.3470 141.1279 0.2946E+15
46.6178 177.2329 181.2056 0.2910E+15
150.0833 2.0048 17.2049 0.2801E+15
164.6149 72.5339 126.5976 0.2796E+15
45.0673 29.8885 31.9461 0.2795E+15
65.3445 28.2173 151.3793 0.2790E+15
69.4841 49.8295 3.6462 0.2712E+15
67.9303 103.4680 44.2629 0.2693E+15
9.1492 134.6018 151.0583 0.2578E+15
63.4983 182.1042 165.2841 0.2564E+15
167.2928 132.2460 19.4206 0.2545E+15
159.5477 122.2692 187.3874 0.2501E+15
92.7064 35.9767 139.4509 0.2500E+15
130.7598 42.7453 117.2736 0.2441E+15
167.0822 126.5566 159.8238 0.2363E+15
21.5075 139.0886 77.3678 0.2332E+15
83.7310 187.6830 7.3037 0.2291E+15
168.8392 167.3109 34.8543 0.2273E+15
117.2615 164.5812 177.6002 0.2231E+15
69.7191 180.7635 189.9807 0.2229E+15
68.4789 32.3083 150.5204 0.2219E+15
65.6299 197.2593 44.2236 0.2211E+15
137.8823 93.3985 122.0858 0.2198E+15
125.6578 46.2475 61.1138 0.2197E+15
141.4761 157.7680 25.8321 0.2196E+15
36.4086 174.7858 126.2179 0.2179E+15
137.7133 132.8012 196.7200 0.2171E+15
63.8124 179.3915 8.2498 0.2163E+15
166.2730 91.4098 179.6387 0.2149E+15
95.7248 194.8600 58.4337 0.2127E+15
167.5936 175.0314 25.6752 0.2114E+15
26.8778 70.1844 155.1101 0.2107E+15
22.4940 184.4146 43.5416 0.2099E+15
17.0261 151.1990 134.1723 0.2098E+15
29.2142 121.4459 124.8236 0.2083E+15
128.4030 174.5020 101.4566 0.2052E+15
191.3866 80.5005 30.9592 0.2050E+15
68.9143 15.7693 38.9481 0.2034E+15
66.2654 192.9550 192.6816 0.2032E+15
94.7320 27.7695 104.3571 0.2026E+15
134.6753 49.9722 114.9898 0.1957E+15
198.0069 8.4207 52.4020 0.1934E+15
58.9988 144.7523 191.2747 0.1923E+15
173.9667 9.1813 41.1835 0.1921E+15
171.4570 119.3985 35.8967 0.1911E+15
161.2371 159.3644 78.5314 0.1901E+15
